kommune,err_EOU,err_SOU,err_system
Lolland,0.138726272308951,0.139006979153692,0.440544865434074
Sorø,0.139570074027755,0.186985162725648,0.568814464326549
Slagelse,0.141799461194802,0.151927498462332,0.324803572524853
Syddjurs,0.146347651917498,0.180330977072151,0.42927970167002
Kalundborg,0.148191131978474,0.146874619279446,0.283864120016241
Århus,0.149297576011657,0.122806738201493,0.258565977400429
Næstved,0.149675276533709,0.15149730525143,0.297646598305468
Vordingborg,0.151663005314712,0.161525023467138,0.2958536446967
Odder,0.151664561673946,0.265423778448343,1.05975174090055
Ringsted,0.163308686220575,0.216164495618036,0.399606520877802
Faxe,0.169012733890573,0.190037163754446,0.41134622952929
Holbæk,0.178083834698963,0.210173803954681,0.406339411997371
Lejre,0.184997926308437,0.213515515723246,0.526372563213484
Allerød,0.186909083509167,0.353886745521448,0.431165062207626
Egedal,0.193707458448558,0.264487331429936,0.398548685560567
Albertslund,0.204208270537033,0.170195010442258,0.433816334332648
Høje-Taastrup,0.207298468601738,0.298876049111317,0.427573791165771
Frederikssund,0.21077833246722,0.230431597102319,0.404005782001
Ballerup,0.214735913301414,0.2948780466872,0.465661434407986
Odsherred,0.214835809442232,0.239765928983511,0.562014513636596
Gladsaxe,0.218080711621779,0.380264492047231,0.395765643475162
Ishøj,0.218753513641288,0.23492879508431,0.661901442235549
Køge,0.220459379577419,0.232108398109906,0.376798025129874
Stevns,0.220572256406333,0.258192410209726,0.718683557610913
Fanø,0.220967271873713,0.272266139862523,5.53109536495312
Furesø,0.225913344186879,0.428844805051601,0.468897118252016
Herlev,0.229569400541628,0.311076181745644,0.483998349782712
Greve,0.229633348446056,0.302621639553336,0.432267252753345
Roskilde,0.236436703901691,0.262298240398196,0.491780969407975
Brøndby,0.236846994369284,0.403152855914323,0.783299757817315
Tårnby,0.246449393499951,0.479333561204421,0.433604582921401
Hørsholm,0.263733185907938,0.528413059233614,0.578996982782581
Rudersdal,0.278774078020307,0.534644712052639,0.517249426475833
Glostrup,0.278838141187833,0.387013109007969,0.873354000745557
Hillerød,0.285882690911716,0.357471082006402,0.697594315248219
Dragør,0.291158219387242,0.58580330125488,0.86100394542944
Lyngby-Taarbæk,0.292033490953124,0.43557086297161,0.531608682049558
Fredensborg,0.294103890553903,0.411647366723719,0.607610308557422
Rødovre,0.298224247720121,0.456954405065622,0.507865879652531
Helsingør,0.311890991406925,0.495681371552675,0.634572654261976
Læsø,0.338884996165279,0.355564873483584,20.518375311784
Halsnæs,0.340303009781333,0.399288497800424,0.664265692271351
Gribskov,0.356209646119144,0.322286198325533,0.756623263690405
Hvidovre,0.370469026044237,0.505280454319431,0.590485906128487
Solrød,0.37426299299474,0.318370145038496,0.930290159858523
Gentofte,0.51146397499402,0.506837290802583,0.789127397124518
København,0.5444982060304,0.478170177103477,0.810562231598441
Samsø,0.586800674523281,0.710448339295539,122.695882568074
Frederiksberg,2.26119330712085,6.00485989426407,31.7800296316916
